method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s_a,sample_elapsed_s_b,total_elapsed_s,tts_s,success,tts_hit_s,mts_t_hit_s,target_e,bestE_sample,q10,q50,q90,K,seed_bestE,mts_bestE,mts_elapsed_s,mts_outer_iters,tau_dcqo_s,fast_outlier
DCQO,25,1611659,16,10,0.05,0.5,0.05,0.1,1.0,100,2.0058548460001475,2.6715018270006112,2.682898824001313,2.682898824001313,1,2.682869562000633,0.01136773500002164,24,28.0,48.0,116.0,396.0,16,28,24,0.011396997000701958,2,2.0067643902000416,0
DAQO,26,1611676,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7399467150007695,0.971725843999593,0.9821267249990342,0.9821267249990342,1,0.9821008170001733,0.010374973000580212,24,36.0,64.0,116.0,280.0,16,36,24,0.010400880999441142,2,2.0067643902000416,1
DCQO,26,1611676,16,10,0.05,0.5,0.05,0.1,1.0,100,1.992081529000643,2.622072684998784,2.6318138699971314,2.6318138699971314,1,2.631788996999603,0.009716312000819016,24,28.0,40.0,128.0,420.0,16,28,24,0.009741184998347308,2,2.0067643902000416,0
DAQO,27,1611693,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7357260960015992,0.9659416850008711,0.9873590780007362,0.9873590780007362,1,0.9873409100018762,0.021399225001005107,24,44.0,64.0,112.0,272.0,16,44,24,0.021417392999865115,3,2.0067643902000416,1
DCQO,27,1611693,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9906373409994558,2.6614163070007635,2.6816052930007572,2.6816052930007572,1,2.681587331000628,0.0201710239998647,24,28.0,52.0,164.0,568.0,16,28,24,0.020188985999993747,3,2.0067643902000416,0
DAQO,28,1611710,16,10,0.05,0.5,0.05,0.0,1.0,100,0.742294416999357,0.9593697100008285,0.978832382001201,0.978832382001201,1,0.9788132080011565,0.019443498000327963,24,48.0,72.0,124.0,272.0,16,44,24,0.01946267200037255,3,2.0067643902000416,1
DCQO,28,1611710,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9910436079990177,2.675229954000315,2.6776154190010857,2.6776154190010857,1,2.675229954000315,0.0,24,24.0,44.0,144.0,432.0,16,24,24,0.002385465000770637,1,2.0067643902000416,0
DAQO,29,1611727,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7373892920004437,0.9680640139995376,0.980231781000839,0.980231781000839,1,0.9802129190011328,0.012148905001595267,24,36.0,80.0,116.0,268.0,16,36,24,0.0121677670013014,2,2.0067643902000416,1
DCQO,29,1611727,16,10,0.05,0.5,0.05,0.1,1.0,100,2.0027582200000325,2.662306632999389,2.6648740340006043,2.6648740340006043,1,2.662306632999389,0.0,24,24.0,40.0,124.0,412.0,16,24,24,0.0025674010012153303,1,2.0067643902000416,0
DAQO,30,1611744,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7405985450004664,0.9777192810015549,1.0017236350013263,1.0017236350013263,1,1.00170574600088,0.023986464999325108,24,40.0,64.0,124.0,260.0,16,36,24,0.02400435399977141,3,2.0067643902000416,1
