method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s,shots_per_s,unique,bestE_sample,q10,q50,q90,status,error
DAQO,26,2011676,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1994956109992927,45.46496910469723,100.0,82.0,106.0,214.0,498.0,ok,
DCQO,26,2011676,20,10,0.05,0.5,0.05,0.1,1.0,100,5.395289473999583,18.53468668954828,100.0,66.0,122.0,318.0,702.0,ok,
RANDOM,26,2011676,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028851779989054194,34659.90661163299,nan,62.0,94.0,158.0,298.0,ok,
DAQO,27,2011693,20,10,0.05,0.5,0.05,0.0,1.0,100,2.193023064999579,45.599155611260834,100.0,74.0,106.0,198.0,442.0,ok,
DCQO,27,2011693,20,10,0.05,0.5,0.05,0.1,1.0,100,5.403676583000561,18.505918787699144,100.0,58.0,94.0,306.0,582.0,ok,
RANDOM,27,2011693,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002881095999327954,34709.01352239775,nan,78.0,98.0,158.0,262.0,ok,
DAQO,28,2011710,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1824229350004316,45.82063283713623,100.0,46.0,126.0,234.0,446.0,ok,
DCQO,28,2011710,20,10,0.05,0.5,0.05,0.1,1.0,100,5.398354518998531,18.524163177514207,100.0,34.0,86.0,258.0,690.0,ok,
RANDOM,28,2011710,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028624629994737916,34934.949383933716,nan,66.0,86.0,166.0,290.0,ok,
DAQO,29,2011727,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1997402970009716,45.459911852474384,100.0,94.0,122.0,226.0,410.0,ok,
DCQO,29,2011727,20,10,0.05,0.5,0.05,0.1,1.0,100,5.396903241999098,18.52914449564199,100.0,74.0,142.0,310.0,750.0,ok,
RANDOM,29,2011727,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002888490998884663,34620.152889039,nan,66.0,94.0,174.0,302.0,ok,
DAQO,30,2011744,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1994951100004982,45.464979460662384,100.0,94.0,126.0,214.0,398.0,ok,
DCQO,30,2011744,20,10,0.05,0.5,0.05,0.1,1.0,100,5.3978533999998035,18.525882900043865,100.0,50.0,106.0,258.0,666.0,ok,
RANDOM,30,2011744,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0029388550010480685,34026.85738640985,nan,66.0,94.0,158.0,346.0,ok,
DAQO,31,2011761,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1938541979998263,45.581880551210595,100.0,74.0,110.0,190.0,538.0,ok,
DCQO,31,2011761,20,10,0.05,0.5,0.05,0.1,1.0,100,5.405495058001179,18.49969316907998,100.0,58.0,102.0,342.0,690.0,ok,
RANDOM,31,2011761,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0029277650010044454,34155.74677806874,nan,66.0,106.0,162.0,310.0,ok,
DAQO,32,2011778,20,10,0.05,0.5,0.05,0.0,1.0,100,2.195406755001386,45.54964576481722,100.0,78.0,122.0,234.0,530.0,ok,
DCQO,32,2011778,20,10,0.05,0.5,0.05,0.1,1.0,100,5.388755392999883,18.557160736949072,100.0,58.0,126.0,290.0,654.0,ok,
RANDOM,32,2011778,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028891639994981233,34612.088485586486,nan,62.0,94.0,174.0,314.0,ok,
DAQO,33,2011795,20,10,0.05,0.5,0.05,0.0,1.0,100,2.2056979709996085,45.33712290385824,100.0,66.0,102.0,222.0,514.0,ok,
DCQO,33,2011795,20,10,0.05,0.5,0.05,0.1,1.0,100,5.3972735080005805,18.527873351566537,100.0,42.0,102.0,318.0,650.0,ok,
RANDOM,33,2011795,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028932879995409166,34562.753523281186,nan,46.0,98.0,162.0,294.0,ok,
DAQO,34,2011812,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1932713980004337,45.59399265005152,100.0,78.0,110.0,186.0,438.0,ok,
DCQO,34,2011812,20,10,0.05,0.5,0.05,0.1,1.0,100,5.393519720999393,18.54076839853855,100.0,62.0,126.0,290.0,690.0,ok,
RANDOM,34,2011812,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028718339999613818,34820.954136396715,nan,62.0,106.0,174.0,310.0,ok,
DAQO,35,2011829,20,10,0.05,0.5,0.05,0.0,1.0,100,2.185354773000654,45.75916058823373,100.0,78.0,106.0,198.0,374.0,ok,
DCQO,35,2011829,20,10,0.05,0.5,0.05,0.1,1.0,100,5.399083567999696,18.521661822887648,100.0,38.0,106.0,318.0,654.0,ok,
RANDOM,35,2011829,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028622939989872975,34937.0120733163,nan,58.0,98.0,154.0,266.0,ok,
DAQO,36,2011846,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1839566769995145,45.78845407198626,100.0,62.0,130.0,234.0,470.0,ok,
DCQO,36,2011846,20,10,0.05,0.5,0.05,0.1,1.0,100,5.394958195000072,18.5358248174523,100.0,70.0,98.0,322.0,810.0,ok,
RANDOM,36,2011846,20,10,0.05,0.5,0.05,0.0,1.0,100,0.00288358500074537,34679.05401580022,nan,54.0,110.0,166.0,282.0,ok,
DAQO,37,2011863,20,10,0.05,0.5,0.05,0.0,1.0,100,2.212433176999184,45.19910523834857,100.0,74.0,138.0,218.0,406.0,ok,
DCQO,37,2011863,20,10,0.05,0.5,0.05,0.1,1.0,100,5.392463207999754,18.544400980177176,100.0,54.0,90.0,298.0,654.0,ok,
RANDOM,37,2011863,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002836449999449542,35255.336783446415,nan,74.0,98.0,170.0,278.0,ok,
DAQO,38,2011880,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1862410829999135,45.740609659929234,100.0,82.0,130.0,210.0,370.0,ok,
DCQO,38,2011880,20,10,0.05,0.5,0.05,0.1,1.0,100,5.415425790999507,18.46576868733037,99.0,54.0,90.0,314.0,886.0,ok,
RANDOM,38,2011880,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0030195359995559556,33117.671064264745,nan,46.0,106.0,166.0,302.0,ok,
DAQO,39,2011897,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1901879599990934,45.65818177543145,100.0,74.0,106.0,218.0,426.0,ok,
DCQO,39,2011897,20,10,0.05,0.5,0.05,0.1,1.0,100,5.402358036999431,18.51043550152071,100.0,54.0,94.0,282.0,718.0,ok,
RANDOM,39,2011897,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0029202400000940543,34243.760785681734,nan,78.0,106.0,174.0,286.0,ok,
DAQO,40,2011914,20,10,0.05,0.5,0.05,0.0,1.0,100,2.189872167999056,45.66476594447641,100.0,70.0,114.0,238.0,462.0,ok,
DCQO,40,2011914,20,10,0.05,0.5,0.05,0.1,1.0,100,5.416965926000557,18.460518557079386,100.0,42.0,90.0,298.0,750.0,ok,
RANDOM,40,2011914,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028810130006604595,34710.0134491151,nan,74.0,102.0,154.0,250.0,ok,
DAQO,41,2011931,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1859032479987945,45.74767894761605,100.0,82.0,118.0,206.0,422.0,ok,
