method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s,shots_per_s,unique,bestE_sample,q10,q50,q90,status,error
RANDOM,28,2011710,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0033634039991738973,891953.5092236452,nan,42.0,106.0,170.0,302.0,ok,
DAQO,29,2011727,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.634607674999643,452.17443848330663,2995.0,54.0,122.0,214.0,430.0,ok,
DCQO,29,2011727,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,29,2011727,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0033673929992801277,890896.9047097657,nan,42.0,102.0,170.0,298.0,ok,
DAQO,30,2011744,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.639611768001487,451.83364703008766,2995.0,50.0,118.0,210.0,414.0,ok,
DCQO,30,2011744,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,30,2011744,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003463192000708659,866252.8671197329,nan,50.0,102.0,170.0,306.0,ok,
DAQO,31,2011761,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.7476032260001375,444.6023127797851,2992.0,46.0,122.0,218.0,458.0,ok,
DCQO,31,2011761,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,31,2011761,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003328090999275446,901417.6597494257,nan,34.0,102.0,170.0,306.0,ok,
DAQO,32,2011778,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.702610083999389,447.5868299666816,2993.0,50.0,126.0,218.0,442.0,ok,
DCQO,32,2011778,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,32,2011778,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003528629998982069,850188.316957412,nan,38.0,102.0,170.0,294.0,ok,
